 (HEAD, origin/develop, develop) : ceab39a0a405493a3ba2c3686be4b21ddd9646a6
Timestamp: 2016-07-24 11:33:19 +0530
Epoch Timestamp: 1469340199
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.8834, True
Tests/Unit/pos/zipW1.hs, 0.8400, True
Tests/Unit/pos/zipW.hs, 0.8537, True
Tests/Unit/pos/zipSO.hs, 0.8325, True
Tests/Unit/pos/zipper000.hs, 0.8561, True
Tests/Unit/pos/zipper0.hs, 0.9759, True
Tests/Unit/pos/zipper.hs, 1.5752, True
Tests/Unit/pos/wrap1.hs, 1.0572, True
Tests/Unit/pos/wrap0.hs, 0.8662, True
Tests/Unit/pos/Words1.hs, 0.7546, True
Tests/Unit/pos/Words.hs, 0.7448, True
Tests/Unit/pos/WBL0.hs, 1.6533, True
Tests/Unit/pos/WBL.hs, 1.6880, True
Tests/Unit/pos/vector2.hs, 1.4692, True
Tests/Unit/pos/vector1b.hs, 1.1849, True
Tests/Unit/pos/vector1a.hs, 1.2128, True
Tests/Unit/pos/vector1.hs, 1.1354, True
Tests/Unit/pos/vector00.hs, 0.8800, True
Tests/Unit/pos/vector0.hs, 1.1677, True
Tests/Unit/pos/vecloop.hs, 0.9773, True
Tests/Unit/pos/Variance2.hs, 0.7980, True
Tests/Unit/pos/Variance.hs, 0.8071, True
Tests/Unit/pos/unusedtyvars.hs, 0.7648, True
Tests/Unit/pos/UnboxedTuplesAndTH.hs, 1.2252, True
Tests/Unit/pos/UnboxedTuples.hs, 0.7390, True
Tests/Unit/pos/tyvar.hs, 0.7489, True
Tests/Unit/pos/TypeFamilies.hs, 0.8541, True
Tests/Unit/pos/TypeAlias.hs, 0.7532, True
Tests/Unit/pos/tyfam0.hs, 0.8008, True
Tests/Unit/pos/tyExpr.hs, 0.7715, True
Tests/Unit/pos/tyclass0.hs, 0.7416, True
Tests/Unit/pos/tupparse.hs, 0.8248, True
Tests/Unit/pos/tup0.hs, 0.7497, True
Tests/Unit/pos/transTAG.hs, 1.7792, True
Tests/Unit/pos/transpose.hs, 1.2065, True
Tests/Unit/pos/trans.hs, 0.9317, True
Tests/Unit/pos/ToyMVar.hs, 1.0433, True
Tests/Unit/pos/TopLevel.hs, 0.8094, True
Tests/Unit/pos/top0.hs, 0.8669, True
Tests/Unit/pos/TokenType.hs, 0.7456, True
Tests/Unit/pos/testRec.hs, 0.8161, True
Tests/Unit/pos/Test761.hs, 0.8232, True
Tests/Unit/pos/test2.hs, 0.8197, True
Tests/Unit/pos/test1.hs, 0.8168, True
Tests/Unit/pos/test00c.hs, 0.8769, True
Tests/Unit/pos/test00b.hs, 0.8286, True
Tests/Unit/pos/test000.hs, 0.8386, True
Tests/Unit/pos/test00.old.hs, 0.8130, True
Tests/Unit/pos/test00.hs, 0.8130, True
Tests/Unit/pos/test00-int.hs, 0.8175, True
Tests/Unit/pos/test0.hs, 0.8127, True
Tests/Unit/pos/TerminationNum0.hs, 0.7737, True
Tests/Unit/pos/TerminationNum.hs, 0.7623, True
Tests/Unit/pos/Termination.lhs, 1.2975, True
Tests/Unit/pos/term0.hs, 0.8808, True
Tests/Unit/pos/Term.hs, 0.8600, True
Tests/Unit/pos/TemplateHaskellImp.hs, 1.0391, True
Tests/Unit/pos/TemplateHaskell.hs, 1.7828, True
